,13-12-1978, ,1978-12-13,string,89.2,
,13-12-1978,mystring_1,1978-12-13,string,89.2,
12,13-12-1978,mystring_1,1978-12-13,string,89.2,
lee2,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju1
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju2
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju3
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju4
12,13-12-1978,mystring_1,1978-12-13,string,78.12,
12,13-12-1978,mystring_1,1978-12-13, ,89.2,baiju-
,13-12-1978, ,1978-12-13,string,89.2,
,13-12-1978,mystring_1,1978-12-13,string,89.2,
12,13-12-1978,mystring_1,1978-12-13,string,89.2,
lee2,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju1
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju2
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju3
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju4
12,13-12-1978,mystring_1,1978-12-13,string,78.12,
12,13-12-1978,mystring_1,1978-12-13, ,89.2,baiju-
,13-12-1978, ,1978-12-13,string,89.2,
,13-12-1978,mystring_1,1978-12-13,string,89.2,
12,13-12-1978,mystring_1,1978-12-13,string,89.2,
lee2,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju1
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju2
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju3
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju4
12,13-12-1978,mystring_1,1978-12-13,string,78.12,
12,13-12-1978,mystring_1,1978-12-13, ,89.2,baiju-
,13-12-1978, ,1978-12-13,string,89.2,
,13-12-1978,mystring_1,1978-12-13,string,89.2,
12,13-12-1978,mystring_1,1978-12-13,string,89.2,
lee2,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju1
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju2
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju3
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju4
12,13-12-1978,mystring_1,1978-12-13,string,78.12,
12,13-12-1978,mystring_1,1978-12-13, ,89.2,baiju-
,13-12-1978, ,1978-12-13,string,89.2,
,13-12-1978,mystring_1,1978-12-13,string,89.2,
12,13-12-1978,mystring_1,1978-12-13,string,89.2,
lee2,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju1
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju2
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju3
12,13-12-1978,mystring_1,1978-12-13,string,89.2,baiju4
12,13-12-1978,mystring_1,1978-12-13,string,78.12,
12,13-12-1978,mystring_1,1978-12-13, ,89.2,baiju-
,13-12-1978, ,1978-12-13,string,89.2,
